frame_number,objects,tracks
1,"['bicycle:0.9963', 'person:0.9952', 'person:0.9763', 'person:0.9726', 'person:0.9372', 'person:0.9077', 'person:0.8433', 'person:0.7133', 'person:0.6551', 'person:0.5709', 'person:0.5241', 'person:0.5100']","[(11, 21, 295), (28, 548, 256), (33, 176, 257), (34, 653, 299), (35, 392, 201), (37, 650, 202), (38, 466, 181), (39, 332, 293), (40, 276, 198), (41, 439, 203), (42, 100, 238), (43, 256, 184)]"
1,"['person:0.9956', 'bicycle:0.9955', 'person:0.9662', 'person:0.9608', 'person:0.9133', 'person:0.8096', 'person:0.8059', 'person:0.7264', 'person:0.5784']","[(11, 18, 297), (28, 553, 255), (34, 638, 292), (35, 391, 200), (38, 466, 180), (39, 332, 293), (40, 274, 202), (41, 142, 277), (43, 253, 185)]"
1,"['person:0.9960', 'bicycle:0.9956', 'person:0.9699', 'person:0.9610', 'person:0.9270', 'person:0.8192', 'person:0.8092', 'person:0.7021', 'person:0.5316']","[(11, 18, 297), (28, 552, 255), (34, 637, 292), (35, 391, 199), (38, 466, 180), (39, 332, 283), (40, 275, 202), (41, 141, 276), (43, 253, 185)]"
1,"['person:0.9983', 'person:0.9957', 'bicycle:0.9957', 'person:0.9934', 'person:0.9218', 'person:0.8792', 'person:0.8446', 'person:0.8378']","[(28, 551, 255), (34, 621, 284), (35, 389, 199), (38, 14, 217), (39, 331, 295), (40, 273, 214), (41, 135, 279), (43, 253, 206)]"
1,"['person:0.9981', 'person:0.9966', 'bicycle:0.9962', 'person:0.9930', 'person:0.9803', 'person:0.8998', 'person:0.8871', 'person:0.5413', 'person:0.5217']","[(28, 553, 254), (34, 631, 283), (35, 387, 198), (38, 16, 214), (39, 331, 293), (40, 424, 183), (41, 124, 277), (43, 257, 214), (44, 464, 220)]"
1,"['person:0.9976', 'bicycle:0.9941', 'person:0.9912', 'person:0.9887', 'person:0.9757', 'person:0.9549', 'person:0.9341', 'person:0.6942', 'book:0.6357', 'person:0.5742', 'person:0.5363']","[(28, 551, 255), (34, 631, 280), (35, 383, 197), (38, 16, 206), (39, 331, 294), (40, 424, 200), (41, 117, 273), (43, 262, 214), (44, 463, 221), (45, 626, 382), (46, 535, 179)]"
1,"['bicycle:0.9948', 'person:0.9928', 'person:0.9892', 'person:0.9811', 'person:0.9765', 'person:0.9444', 'person:0.9413', 'person:0.9046', 'person:0.8884', 'person:0.7465', 'person:0.6531', 'person:0.5578']","[(28, 544, 253), (34, 619, 286), (35, 385, 195), (38, 14, 197), (39, 330, 294), (40, 421, 199), (41, 118, 261), (43, 262, 214), (44, 462, 220), (45, 572, 186), (46, 539, 182), (47, 205, 183)]"
1,"['person:0.9962', 'person:0.9961', 'person:0.9880', 'bicycle:0.9790', 'person:0.9701', 'person:0.9700', 'person:0.9697', 'person:0.9451', 'person:0.8227', 'person:0.8178', 'person:0.8115', 'cell phone:0.7088']","[(28, 542, 254), (34, 611, 280), (35, 384, 196), (38, 593, 388), (39, 331, 293), (40, 420, 201), (41, 99, 261), (43, 263, 214), (44, 463, 220), (45, 574, 162), (46, 538, 180), (47, 201, 200)]"
1,"['person:0.9948', 'person:0.9853', 'person:0.9828', 'person:0.9721', 'person:0.9671', 'person:0.9597', 'person:0.9498', 'bicycle:0.9470', 'person:0.9452', 'person:0.9085']","[(28, 530, 261), (34, 604, 288), (35, 381, 198), (39, 332, 295), (40, 419, 197), (41, 92, 261), (43, 261, 215), (44, 463, 220), (45, 203, 256), (46, 541, 179)]"
1,"['person:0.9941', 'person:0.9853', 'person:0.9832', 'person:0.9724', 'person:0.9631', 'person:0.9604', 'person:0.9484', 'person:0.9469', 'bicycle:0.9441', 'person:0.9081']","[(28, 530, 262), (34, 604, 288), (35, 381, 198), (39, 332, 294), (40, 418, 198), (41, 92, 261), (43, 260, 215), (44, 463, 219), (45, 203, 256), (46, 542, 179)]"
1,"['person:0.9975', 'person:0.9790', 'person:0.9670', 'person:0.9610', 'person:0.9272', 'person:0.9105', 'person:0.8930', 'person:0.8475', 'person:0.7068', 'bicycle:0.6269', 'handbag:0.5635']","[(28, 527, 259), (34, 603, 290), (35, 381, 199), (39, 332, 294), (40, 416, 199), (41, 82, 259), (43, 263, 215), (44, 462, 218), (45, 203, 275), (46, 539, 177), (48, 152, 258)]"
1,"['person:0.9709', 'person:0.9645', 'person:0.9536', 'person:0.9266', 'person:0.7898', 'person:0.7646', 'person:0.5803', 'person:0.5398', 'cell phone:0.5380']","[(28, 514, 418), (34, 576, 293), (35, 381, 199), (39, 331, 281), (40, 414, 198), (41, 82, 258), (43, 261, 205), (44, 460, 217), (45, 222, 275)]"
1,"['person:0.9889', 'person:0.9795', 'person:0.9788', 'person:0.9418', 'person:0.8442', 'person:0.8297', 'person:0.7820']","[(34, 569, 295), (35, 373, 198), (39, 332, 281), (40, 413, 198), (41, 88, 257), (44, 679, 202), (45, 222, 261)]"
1,"['person:0.9942', 'person:0.9892', 'person:0.9807', 'person:0.8698', 'person:0.8594', 'person:0.8369', 'person:0.8151', 'person:0.6930', 'cell phone:0.5472', 'bicycle:0.5079']","[(34, 559, 295), (35, 374, 197), (39, 333, 280), (40, 411, 199), (41, 91, 280), (44, 679, 204), (45, 229, 259), (49, 452, 204), (50, 465, 434), (51, 658, 259)]"
